Nama Perenang:,Popop
Gaya Renang:,Gaya Bebas
Time:,130526-1633
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
1197.90,45.43,13.34,-36.93
1198.00,18.81,-15.61,-13.53
1198.10,43.06,-18.09,31.74
1198.20,48.99,-10.26,-6.80
1198.30,13.68,1.82,13.98
1198.40,43.18,16.78,-11.12
1198.50,19.40,-5.87,29.41
1198.60,13.01,9.75,-6.19
1198.70,46.95,11.39,14.37
1198.80,4.64,19.50,39.09
1198.90,24.39,-6.60,-37.78
1199.00,22.30,15.07,14.52
1199.10,0.25,3.73,30.39
1199.20,10.95,10.05,-28.56
1199.30,3.61,-8.35,27.62
1199.40,48.74,9.60,-37.96
1199.50,25.30,-16.50,9.15
1199.60,3.86,17.52,-17.21
1199.70,20.78,-8.16,-26.83
1199.80,8.67,-1.73,7.95
1199.90,23.20,-18.32,23.16
1200.00,8.70,3.42,9.82
1200.10,20.08,16.96,-17.42
1200.20,24.86,2.15,2.21
1200.30,21.09,-12.68,-34.20
1200.40,9.90,18.90,-34.73
1200.50,2.40,-14.49,-13.40
1200.60,48.01,-0.89,3.02
1200.70,40.19,-7.98,9.67
1200.80,18.25,2.74,-28.15
1200.90,15.55,3.40,10.58
1201.00,22.63,15.53,-15.04
1201.10,27.30,-17.28,31.57
1201.20,17.54,3.64,20.83
1201.30,32.21,-3.58,-26.39
1201.40,25.76,16.43,-6.94
1201.50,27.61,-3.05,28.72
1201.60,32.48,15.01,-27.35
1201.70,28.26,-13.54,-22.80
1201.80,38.27,15.06,-28.63
1201.90,43.56,-0.54,-35.79
1202.00,11.42,5.09,-6.23
1202.10,49.77,-19.00,37.66
1202.20,36.19,3.16,-11.20
1202.30,9.23,-16.19,-28.79
1202.40,0.22,19.62,-25.75
1202.50,45.40,-7.41,-15.31
1202.60,42.68,13.58,16.97
1202.70,6.91,-10.03,37.50
1202.81,29.06,-7.85,-9.37
1202.91,38.08,-8.35,-28.51
1203.01,43.42,-13.57,13.55
1203.10,8.87,5.36,-33.71
1203.20,2.75,10.32,25.93
1203.31,26.78,-14.26,-3.66
1203.41,19.56,7.41,22.06
1203.51,45.76,-17.60,39.27
1203.60,3.51,-16.74,-29.93
1203.70,8.12,17.79,22.66
1203.81,4.83,12.54,-22.25
1203.91,37.35,15.14,-15.92
1204.01,34.87,-19.88,30.30
1204.10,0.01,3.06,20.12
1204.20,29.32,1.02,26.20
1204.31,39.70,5.58,-39.87
1204.41,14.87,10.76,-8.95
1204.51,6.63,-14.12,-7.66
1204.61,33.92,10.64,-23.93
1204.71,33.41,11.71,8.25
1204.81,8.07,1.67,-21.42
1204.91,27.55,-16.48,2.67
1205.01,42.31,4.59,11.39
1205.11,42.78,-13.43,33.82
1205.21,4.59,-15.53,25.52
1205.31,1.13,-2.01,19.67
1205.41,47.15,-15.58,34.41
1205.51,32.58,5.85,37.21
1205.61,35.49,0.31,6.28
1205.71,28.91,4.72,-25.71
1205.81,49.43,-11.76,14.07
1205.91,4.45,-11.58,-30.64
1206.01,23.21,13.88,-18.00
1206.11,14.89,-0.88,-11.03
1206.21,6.52,14.25,-18.49
1206.31,42.34,18.06,-19.53
1206.41,26.19,-17.46,-10.13
1206.51,44.80,19.62,27.28
1206.61,11.26,5.66,24.44
1206.71,10.85,-17.27,-17.06
1206.81,32.74,-4.86,13.31
1206.91,46.33,0.19,1.05
1207.01,15.71,0.87,-13.16
1207.11,36.94,-3.71,-37.25
1207.21,3.83,-3.40,-31.69
1207.31,33.35,-9.53,14.41
1207.41,30.54,2.07,-8.81
1207.51,48.36,-0.82,0.35
1207.61,46.22,10.62,14.73
1207.71,12.24,18.01,-19.83
1207.81,20.24,2.40,1.66
1207.91,37.77,1.46,25.60
1208.01,7.37,-17.41,35.45
1208.11,32.52,10.45,7.99
1208.21,23.06,10.80,-4.48
1208.31,22.22,-5.21,-24.78
1208.41,4.93,4.80,25.12
1208.51,1.55,-3.34,5.22
1208.61,45.91,-10.70,-31.72
1208.71,18.54,12.26,-34.69
1208.81,5.94,-2.84,6.51
1208.91,49.44,-17.88,18.74
1209.01,45.59,10.75,-39.71
1209.11,11.24,-6.89,28.48
1209.21,15.58,5.47,21.39
1209.31,19.27,-0.45,-16.16
1209.41,26.22,-4.67,-17.37
1209.51,19.68,16.86,-6.20
1209.61,30.24,-12.41,-0.38
1209.71,6.35,18.81,-37.26
1209.81,48.17,-18.79,19.35
1209.91,20.25,-11.44,-38.21
1210.01,46.44,0.43,-27.74
1210.11,4.43,10.03,-29.52
1210.21,6.06,-8.83,-5.31
1210.31,26.13,-1.78,-8.17
1210.41,9.86,-10.98,-26.27
1210.51,42.96,14.81,6.15
1210.61,24.49,-8.43,18.43
1210.71,22.50,9.62,-4.16
1210.81,32.25,4.16,6.51
1210.91,6.45,4.71,-3.06
1211.01,47.97,-7.36,17.40
1211.11,19.43,-9.03,23.41
1211.21,1.52,11.39,5.33
1211.31,30.82,-16.63,-12.55
1211.41,22.85,-17.17,-24.43
1211.51,9.34,-8.76,-12.72
1211.61,5.28,-15.32,3.29
1211.71,38.93,-2.22,32.96
1211.81,44.66,8.19,18.63
1211.91,22.15,9.40,-11.09
1212.01,4.40,8.27,13.53
1212.11,49.49,4.27,18.33
1212.21,22.69,16.12,-1.79
1212.31,7.54,9.76,-37.20
1212.41,13.26,-14.62,17.16
1212.51,43.10,10.35,29.34
1212.61,44.31,18.21,34.08
1212.71,18.21,-11.03,37.78
1212.81,32.47,-13.17,-28.39
1212.91,5.48,16.64,-38.47
1213.01,15.03,-5.55,4.24
1213.11,47.98,17.50,27.74
1213.21,21.50,15.08,6.38
1213.31,27.10,14.90,15.23
1213.41,24.35,3.19,28.08
1213.51,14.83,17.97,17.06
1213.61,14.75,-19.65,-36.29
1213.71,1.52,11.53,26.53
1213.81,22.84,-10.35,-15.38
1213.91,34.23,7.06,7.61
1214.01,35.48,9.86,0.13
1214.11,36.36,-14.30,-20.56
1214.21,47.12,2.27,-6.04
1214.31,26.39,16.25,-6.61
1214.41,3.72,1.85,-21.40
1214.51,44.13,-14.88,4.38
1214.61,48.81,9.18,-9.98
1214.71,43.99,10.14,10.33
1214.81,38.49,7.25,30.09
1214.91,16.95,9.65,-24.42
1215.01,22.36,15.84,-34.39
1215.11,42.76,-14.76,2.55
1215.21,20.03,-12.06,37.99
1215.31,8.95,9.59,-8.09
1215.41,27.78,-2.68,-29.74
1215.51,0.45,18.06,1.19
1215.61,48.03,-5.05,-0.73
1215.71,21.84,-0.42,39.03
1215.81,18.32,1.62,-1.07
1215.91,1.44,-6.55,-8.74
1216.01,46.07,-18.39,-14.13
1216.11,21.68,15.09,-7.28
1216.21,26.11,3.62,7.88
1216.31,45.91,-17.50,-26.90
1216.41,10.04,-7.27,-34.76
1216.51,9.97,-1.69,2.46
1216.61,39.69,-12.42,-13.85
1216.71,25.54,11.29,33.70
1216.81,22.16,-3.49,-29.27
1216.91,37.73,-8.71,-30.51
1217.01,15.75,-7.70,28.49
1217.11,30.39,-3.07,-8.16
1217.21,36.28,-9.33,33.36
1217.31,40.87,11.37,-1.36
1217.41,33.08,8.17,-24.24
1217.51,1.01,-3.64,-4.65
1217.61,4.09,3.32,-28.67
1217.71,1.79,11.33,-16.71
1217.81,32.94,0.42,17.72
1217.91,28.26,-8.58,-21.46
1218.01,37.00,-8.34,-3.36
1218.11,23.26,-10.59,-38.52
1218.21,34.33,-16.86,7.82
1218.31,29.58,-8.04,26.52
1218.41,37.79,-1.91,-3.94
1218.51,33.71,16.89,-7.51
1218.61,17.20,10.89,3.91
1218.71,17.26,-13.03,-19.99
1218.81,0.49,10.78,-6.38
1218.91,46.76,-14.40,21.37
1219.01,21.43,2.40,35.45
1219.11,5.21,-16.12,-5.61
1219.21,17.30,13.30,3.24
1219.31,47.14,-17.71,22.45
1219.41,38.56,-17.01,-5.17
1219.51,16.20,-13.23,-1.63
1219.61,45.03,-5.38,-8.45
1219.71,0.39,-11.90,-38.41
1219.81,18.86,1.07,18.62
1219.91,44.60,-11.69,5.11
1220.01,12.85,18.83,23.84
1220.11,6.86,7.56,35.56
1220.21,23.45,18.80,23.26
1220.31,16.30,3.72,25.06
1220.41,46.34,-19.36,24.93
1220.51,38.91,-6.06,14.55
1220.61,17.22,-16.64,25.11
1220.71,13.78,-17.05,-25.57
1220.81,36.35,-4.38,-27.93
1220.91,38.97,-1.86,7.29
