Nama Perenang:,Phelp
Gaya Renang:,Gaya Bebas
Time:,130526-1844
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
7142.47,22.68,15.72,-21.30
7142.57,47.72,-0.64,12.73
7142.67,10.73,-8.11,34.46
7142.77,17.89,19.68,36.77
7142.87,46.83,-4.86,-2.21
7142.97,8.00,-0.35,-5.48
7143.07,5.77,-9.78,15.86
7143.17,47.26,-15.84,6.32
7143.27,46.37,6.98,-23.82
7143.37,29.82,-17.10,-3.68
7143.47,17.25,6.02,28.36
7143.57,0.84,19.00,-9.72
7143.67,3.21,-3.50,0.58
7143.77,7.26,-4.54,1.02
7143.87,3.27,4.29,-21.94
7143.97,46.34,1.92,35.47
7144.07,41.12,-8.19,-18.10
7144.17,32.18,-7.69,5.88
7144.27,10.04,2.84,10.88
7144.37,22.45,-5.86,31.96
7144.47,20.35,-10.10,-15.46
7144.57,32.28,16.74,11.45
7144.67,4.52,16.63,37.63
7144.77,42.48,0.02,0.55
7144.87,40.12,13.48,39.20
7144.97,9.82,6.73,17.03
7145.07,25.49,1.77,-2.41
7145.17,13.51,-6.38,-21.85
7145.27,18.24,-7.87,25.84
7145.37,29.68,-13.58,8.95
7145.47,46.31,-1.29,-34.63
7145.58,2.06,-9.69,-33.85
7145.67,9.78,17.97,-8.29
7145.77,15.93,2.77,4.86
7145.88,3.65,-3.29,26.69
7145.98,3.59,-14.84,25.84
7146.08,16.25,-7.96,29.18
7146.17,1.29,-12.18,21.34
7146.27,46.45,-11.54,17.72
7146.38,38.52,9.11,-35.18
7146.48,20.29,-7.36,3.11
7146.58,26.43,8.06,28.23
7146.67,30.58,-6.69,11.78
7146.77,30.74,-3.16,28.80
7146.88,11.61,19.50,-26.52
7146.98,29.60,19.08,-38.01
7147.08,4.46,0.39,-1.87
7147.17,28.84,-9.31,-37.34
7147.27,29.93,5.29,-17.16
7147.38,27.99,3.65,-7.45
7147.48,26.45,14.78,-21.71
7147.58,41.58,12.19,-38.07
7147.68,8.16,1.43,-37.30
7147.78,10.71,-19.88,4.11
7147.88,1.59,5.27,-38.35
7147.98,3.18,15.87,35.57
7148.08,49.23,15.54,9.89
7148.18,40.93,-12.14,35.32
7148.28,6.61,-0.49,-38.88
7148.38,12.64,-15.10,-38.53
7148.48,26.05,2.71,-32.76
7148.58,30.24,-13.70,-4.80
7148.68,24.67,7.79,14.30
7148.78,24.92,4.90,2.84
7148.88,15.98,16.70,39.52
7148.98,18.40,8.94,6.17
7149.08,3.46,-2.12,38.00
