Nama Perenang:,Reza
Gaya Renang:,Gaya Bebas
Time:,130526-1638
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
264.74,48.51,-7.61,-39.17
264.84,26.40,11.89,-6.41
264.94,32.63,4.58,-38.28
265.04,0.11,-15.10,-4.39
265.14,25.34,-5.21,16.79
265.24,1.02,-13.47,5.44
265.34,7.32,-17.67,-12.37
265.44,32.79,9.30,-0.85
265.54,4.78,-0.79,13.43
265.64,47.23,-5.35,29.18
265.74,33.45,-3.93,9.66
265.84,42.58,16.74,2.46
265.94,42.22,10.84,-19.04
266.04,40.71,2.95,-12.29
266.14,40.77,-9.83,27.35
266.24,12.75,-14.72,-6.72
266.34,0.58,-18.37,-28.43
266.44,48.41,15.30,-6.42
266.54,9.99,-19.14,-31.00
266.64,24.97,-2.56,30.42
266.74,14.90,2.08,25.45
266.84,32.73,1.91,38.97
266.94,5.80,7.29,-11.41
267.04,7.96,-2.58,33.41
267.14,49.16,-10.74,1.23
267.24,45.11,9.78,20.14
267.34,5.43,-13.43,15.36
267.44,25.16,-15.47,-27.78
267.54,10.14,14.78,-15.98
267.64,22.14,7.89,3.02
267.74,0.40,-12.76,-5.08
267.84,20.84,2.19,-10.02
267.94,40.00,18.46,-15.81
268.04,30.62,14.70,27.77
268.14,0.35,17.09,-8.02
268.24,10.23,-10.55,-12.02
268.34,43.15,17.00,-5.37
268.44,35.59,-16.83,-36.10
268.54,30.06,14.13,-15.62
268.64,33.04,-6.17,-34.34
268.74,27.91,4.50,35.17
268.84,25.71,3.82,-11.01
268.94,43.03,5.85,-0.18
269.04,37.25,-12.19,13.60
269.14,31.27,18.91,1.99
269.24,44.77,-14.56,-20.85
269.34,32.96,9.06,-32.00
269.44,14.84,-9.60,-31.99
269.54,1.79,-1.36,-25.11
269.64,48.97,12.75,37.03
269.74,3.95,-11.01,6.47
269.84,26.18,10.71,25.56
269.94,22.49,-3.82,-37.69
270.04,15.98,3.00,-32.45
270.14,25.33,6.24,-10.65
270.24,33.31,-1.50,-37.69
270.34,24.38,12.01,-35.08
270.44,10.29,16.28,8.96
270.54,47.16,6.43,40.00
270.64,0.55,-11.62,9.09
270.74,18.11,-18.52,14.05
270.84,18.11,-18.22,-15.97
270.94,35.85,16.20,-39.95
271.04,5.47,8.08,4.77
271.14,46.97,-0.07,5.17
271.24,27.57,14.12,14.00
271.34,13.09,14.80,-29.30
271.44,11.63,5.91,31.99
271.54,39.52,-15.17,-23.11
271.64,4.12,-10.40,-31.67
271.74,1.16,14.67,-17.31
271.84,31.35,-13.12,-38.85
271.94,5.06,8.58,-26.98
272.04,6.96,-11.32,-16.60
272.14,42.43,14.25,-35.60
272.24,34.76,-5.70,-39.99
272.34,38.26,7.61,34.55
272.44,17.17,-8.46,-15.99
272.54,4.30,-6.15,23.18
272.64,22.11,19.04,20.64
272.74,48.69,16.89,-20.73
272.84,23.88,-11.12,-35.92
272.94,3.20,10.15,-38.89
273.04,17.05,-2.28,15.57
273.14,18.75,8.25,-31.03
273.24,23.55,-7.59,-37.03
273.34,0.14,10.26,-9.99
273.44,44.12,7.36,-21.51
273.54,15.66,17.36,21.96
273.64,42.04,-8.77,35.82
273.74,47.06,4.28,1.56
273.84,30.23,-9.09,-22.44
273.94,11.71,19.64,-19.03
274.04,43.79,-9.37,-33.09
274.14,23.29,17.00,23.92
274.24,22.69,10.91,13.46
274.34,14.90,7.91,-6.35
274.44,38.56,19.25,-1.24
274.54,27.94,-14.84,-13.81
274.64,24.87,7.80,3.55
274.74,25.95,-8.56,-8.20
274.84,18.10,-7.52,-14.33
274.94,31.59,-19.22,-6.75
275.04,29.14,13.28,38.60
275.14,33.23,-4.60,24.73
275.24,32.10,-9.66,-5.55
275.34,37.48,-19.09,-27.31
275.44,5.16,-2.65,-6.58
275.54,45.89,1.53,-27.54
275.64,0.31,7.41,-1.45
275.74,45.92,-0.41,-15.78
275.84,32.53,19.59,-5.47
275.94,21.01,-17.31,30.51
276.04,24.02,-13.54,-4.61
276.14,3.57,-5.00,-32.79
276.24,48.15,-19.06,11.88
276.34,37.48,15.63,-29.42
276.44,0.71,-7.05,-29.18
276.54,46.58,-18.62,-24.10
276.64,31.82,4.80,-37.80
276.74,20.68,19.10,-17.49
276.84,44.26,18.40,36.23
276.94,47.39,-6.31,12.14
277.04,4.81,2.55,-22.05
277.14,28.20,17.11,23.75
277.24,25.32,-5.24,6.22
277.34,45.12,-13.39,-1.31
277.44,27.96,3.22,-29.96
277.54,37.32,10.81,-25.03
277.64,31.31,-7.97,-21.07
277.74,37.70,-19.77,34.43
277.84,39.83,-0.62,28.64
277.94,21.29,8.82,1.46
278.04,12.63,11.06,4.68
278.14,14.06,-19.21,12.59
278.24,13.66,-7.96,-12.34
278.34,7.16,-1.60,27.04
278.44,44.95,-2.18,7.55
278.54,5.38,-15.44,-26.18
278.64,9.21,-10.72,39.92
278.74,14.43,14.76,23.23
278.84,11.20,18.52,0.62
278.94,13.33,-2.02,-27.77
279.04,21.68,-3.02,37.24
279.14,46.35,-10.83,-11.17
279.24,17.85,-15.81,-7.73
279.34,24.83,12.76,16.18
279.44,17.66,0.42,11.81
279.54,5.26,-0.26,37.35
279.64,47.72,-17.52,35.63
279.74,22.92,-4.64,-37.79
279.84,8.02,-13.46,37.78
279.94,38.58,1.58,33.35
280.04,22.11,1.48,-3.68
280.14,6.58,1.86,3.21
280.24,14.77,4.45,-32.71
280.34,32.77,5.07,25.93
280.44,23.24,-11.13,-26.96
280.54,48.16,-11.84,-36.37
280.64,38.15,3.80,37.48
280.74,23.84,-2.14,34.22
280.84,41.48,18.91,-17.65
280.94,46.84,-8.51,-8.46
281.04,35.98,19.63,-39.79
281.14,38.45,1.86,-34.80
281.24,11.56,11.23,-8.80
281.34,1.60,12.61,-13.94
281.44,34.78,17.35,38.62
281.54,11.55,19.20,25.92
281.64,16.47,-14.91,-25.45
281.74,34.76,10.07,22.63
281.84,44.94,16.19,-17.99
281.94,19.59,14.07,37.96
282.04,11.16,-6.37,23.33
282.14,12.83,-2.15,21.06
282.24,49.58,-15.60,-17.64
282.35,37.16,-2.64,-33.72
282.45,1.49,-15.69,15.81
282.55,6.57,-12.44,18.03
282.64,21.58,-2.57,3.42
282.74,46.35,5.33,-1.72
282.85,14.25,11.20,10.86
282.95,5.46,-14.89,-33.37
283.05,8.05,-11.98,6.68
283.14,15.84,-6.79,-14.39
283.24,32.98,17.55,-19.56
283.35,21.72,15.78,-24.07
283.45,47.95,-18.91,-18.34
283.55,12.48,13.36,-21.06
283.64,37.22,3.07,-30.08
283.74,22.01,-14.08,-14.74
283.85,41.57,-11.43,-26.62
283.95,47.21,11.07,28.63
284.05,4.37,10.93,11.48
284.15,31.18,0.50,-21.11
284.25,39.35,-2.17,5.92
284.35,9.50,-14.99,-8.16
284.45,6.51,10.39,-25.29
284.55,41.27,-4.94,-29.36
284.65,24.47,1.55,-4.94
284.75,31.04,-4.97,14.21
284.85,1.56,16.06,10.89
284.95,36.82,8.85,35.99
285.05,43.63,-11.11,-28.79
285.15,32.06,-15.87,-10.24
285.25,49.00,-3.26,22.35
285.35,14.66,6.55,-18.69
285.45,25.42,-14.54,-19.54
285.55,20.25,-18.55,36.53
285.65,43.18,10.00,-33.29
285.75,42.50,2.56,-36.11
285.85,1.04,-10.24,27.08
285.95,39.95,-4.55,0.17
286.05,38.25,2.32,29.48
286.15,7.83,11.13,8.80
286.25,23.13,3.03,-32.05
286.35,43.52,14.09,39.23
286.45,38.21,-17.32,-33.21
286.55,13.13,-17.94,-8.34
286.65,23.20,11.88,28.44
286.75,0.93,3.52,6.10
286.85,18.81,16.47,-29.01
286.95,4.72,-10.90,-8.80
287.05,29.22,8.34,30.22
287.15,15.53,7.44,1.26
287.25,46.19,-11.56,-3.67
287.35,26.61,4.42,-20.32
287.45,21.51,-6.17,18.87
287.55,2.53,-19.72,-33.54
287.65,22.12,17.51,14.07
287.75,48.84,15.50,-19.03
287.85,42.12,-6.27,11.81
287.95,8.25,-16.09,28.67
288.05,0.76,7.04,37.40
