Nama Perenang:,SInus_02
Gaya Renang:,Gaya Bebas
Time:,140526-0933
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
1388.30,4.95,11.60,-8.05
1388.40,5.93,11.32,-8.47
1388.50,8.29,10.93,-8.65
1388.60,11.86,10.44,-8.62
1388.70,16.41,9.86,-8.41
1388.80,21.62,9.20,-8.06
1388.90,27.16,8.47,-7.59
1389.00,32.66,7.69,-7.03
1389.10,37.76,6.85,-6.41
1389.20,42.18,5.98,-5.76
1389.30,45.64,5.09,-5.10
1389.40,47.96,4.19,-4.44
1389.50,49.04,3.30,-3.81
1389.60,48.86,2.43,-3.20
1389.70,47.44,1.60,-2.65
1389.80,44.92,0.81,-2.14
1389.90,41.45,0.08,-1.69
1390.00,37.24,-0.58,-1.30
1390.10,32.54,-1.16,-0.97
1390.20,27.58,-1.66,-0.69
1390.30,22.59,-2.07,-0.47
1390.40,17.82,-2.38,-0.30
1390.50,13.46,-2.60,-0.18
1390.60,9.67,-2.73,-0.09
1390.70,6.57,-2.78,-0.04
1390.80,4.25,-2.74,-0.01
1390.90,2.76,-2.64,-0.00
1391.00,2.09,-2.47,-0.00
1391.10,2.23,-2.25,-0.00
1391.20,3.09,-2.00,0.00
1391.30,4.62,-1.73,0.02
1391.40,6.70,-1.44,0.06
1391.50,9.22,-1.16,0.13
1391.60,12.06,-0.89,0.23
1391.70,15.11,-0.65,0.36
1391.80,18.24,-0.43,0.55
1391.90,21.37,-0.26,0.78
1392.00,24.39,-0.12,1.06
1392.10,27.23,-0.02,1.40
1392.20,29.81,0.05,1.79
1392.30,32.09,0.08,2.24
1392.40,34.03,0.09,2.76
1392.50,35.60,0.07,3.33
1392.60,36.82,0.05,3.95
1392.70,37.66,0.03,4.64
1392.80,38.15,0.01,5.37
1392.90,38.32,0.00,6.14
1393.00,38.19,0.01,6.94
1393.10,37.80,0.02,7.78
1393.20,37.18,0.05,8.62
1393.30,36.38,0.09,9.48
1393.40,35.43,0.12,10.32
1393.50,34.38,0.14,11.14
1393.60,33.26,0.14,11.92
1393.70,32.10,0.11,12.64
1393.80,30.95,0.02,13.28
1393.90,29.82,-0.11,13.81
1394.00,28.74,-0.29,14.23
1394.10,27.74,-0.53,14.50
1394.20,26.82,-0.81,14.60
1394.30,26.01,-1.11,14.51
1394.40,25.30,-1.42,14.20
1394.50,24.71,-1.71,13.66
1394.60,24.22,-1.95,12.86
1394.70,23.85,-2.10,11.80
1394.80,23.58,-2.13,10.44
1394.90,23.40,-2.01,8.79
1395.00,23.31,-1.73,6.84
1395.10,23.29,-1.26,4.59
1395.20,23.33,-0.62,2.05
1395.30,23.42,0.19,-0.75
1395.40,23.55,1.12,-3.79
1395.50,23.69,2.14,-7.03
1395.60,23.85,3.17,-10.43
1395.70,24.01,4.16,-13.92
1395.80,24.16,5.01,-17.43
1395.90,24.29,5.65,-20.89
1396.00,24.40,6.00,-24.20
1396.10,24.48,6.00,-27.28
1396.20,24.54,5.60,-30.02
1396.30,24.58,4.79,-32.31
1396.40,24.60,3.58,-34.05
1396.50,24.60,1.99,-35.15
1396.60,24.61,0.12,-35.51
1396.70,24.63,-1.96,-35.06
1396.80,24.66,-4.09,-33.74
1396.90,24.74,-6.16,-31.50
1397.00,24.85,-7.99,-28.35
1397.10,25.03,-9.45,-24.30
1397.20,25.28,-10.39,-19.42
1397.30,25.60,-10.72,-13.80
1397.40,26.00,-10.36,-7.57
1397.50,26.47,-9.28,-0.91
1397.60,27.02,-7.52,5.98
1397.70,27.63,-5.14,12.87
1397.80,28.28,-2.27,19.49
1397.90,28.94,0.93,25.60
1398.00,29.59,4.24,30.91
1398.10,30.18,7.46,35.17
1398.20,30.67,10.35,38.17
1398.30,31.02,12.71,39.71
1398.40,31.18,14.34,39.66
1398.50,31.11,15.10,37.97
1398.60,30.76,14.91,34.65
1398.70,30.12,13.74,29.79
1398.80,29.14,11.63,23.58
1398.90,27.83,8.69,16.29
1399.00,26.20,5.08,8.23
1399.10,24.29,1.03,-0.18
1399.20,22.15,-3.21,-8.53
1399.30,19.86,-7.37,-16.36
1399.40,17.52,-11.17,-23.25
1399.50,15.24,-14.37,-28.80
1399.60,13.17,-16.76,-32.69
1399.70,11.45,-18.15,-34.70
1399.80,10.21,-18.46,-34.69
1399.90,9.58,-17.65,-32.68
1400.00,9.68,-15.76,-28.79
1400.10,10.59,-12.90,-23.28
1400.20,12.34,-9.24,-16.53
1400.30,14.91,-5.00,-8.98
1400.40,18.25,-0.42,-1.14
1400.50,22.21,4.21,6.47
1400.60,26.62,8.63,13.33
1400.70,31.22,12.58,18.99
1400.80,35.74,15.84,23.11
1400.90,39.86,18.23,25.44
1401.00,43.29,19.63,25.88
1401.10,45.73,19.96,24.48
1401.20,46.93,19.24,21.43
1401.30,46.73,17.52,17.03
1401.40,45.05,14.90,11.68
1401.50,41.91,11.55,5.86
1401.60,37.47,7.65,0.03
1401.70,31.98,3.43,-5.35
1401.80,25.81,-0.90,-9.89
1401.90,19.40,-5.12,-13.29
1402.00,13.26,-9.03,-15.36
1402.10,7.89,-12.44,-16.05
1402.20,3.74,-15.22,-15.42
1402.30,1.21,-17.26,-13.64
1402.40,0.56,-18.49,-10.97
1402.50,1.90,-18.89,-7.73
1402.60,5.16,-18.47,-4.24
1402.70,10.09,-17.30,-0.85
1402.81,16.31,-15.46,2.17
1402.91,23.27,-13.06,4.61
1403.01,30.37,-10.23,6.31
1403.10,36.94,-7.11,7.23
1403.20,42.40,-3.83,7.41
1403.31,46.24,-0.55,6.92
1403.41,48.09,2.63,5.93
1403.51,47.81,5.57,4.62
1403.60,45.43,8.19,3.16
1403.70,41.21,10.41,1.72
1403.81,35.58,12.18,0.45
1403.91,29.12,13.46,-0.57
1404.01,22.47,14.26,-1.27
1404.10,16.30,14.56,-1.66
1404.20,11.19,14.41,-1.77
1404.31,7.61,13.83,-1.66
1404.41,5.87,12.89,-1.39
1404.51,6.06,11.65,-1.05
1404.60,8.08,10.16,-0.71
1404.71,11.63,8.49,-0.41
1404.81,16.28,6.72,-0.19
1404.91,21.49,4.90,-0.06
1405.01,26.72,3.08,0.00
1405.11,31.42,1.33,0.01
1405.21,35.16,-0.31,0.00
1405.31,37.63,-1.82,0.00
1405.41,38.68,-3.16,0.04
1405.51,38.32,-4.31,0.12
1405.61,36.70,-5.26,0.23
1405.71,34.11,-6.01,0.37
1405.81,30.89,-6.56,0.50
1405.91,27.43,-6.91,0.57
1406.01,24.11,-7.09,0.55
1406.11,21.24,-7.10,0.40
1406.21,19.06,-6.96,0.09
1406.31,17.70,-6.70,-0.39
1406.41,17.20,-6.33,-1.03
1406.51,17.49,-5.89,-1.80
1406.61,18.44,-5.38,-2.65
1406.71,19.86,-4.82,-3.54
1406.81,21.52,-4.25,-4.36
1406.91,23.24,-3.67,-5.04
1407.01,24.82,-3.10,-5.50
1407.11,26.14,-2.55,-5.66
1407.21,27.11,-2.03,-5.47
1407.31,27.70,-1.55,-4.89
1407.41,27.92,-1.12,-3.90
1407.51,27.83,-0.74,-2.52
1407.61,27.50,-0.41,-0.77
1407.71,27.02,-0.13,1.29
