Nama Perenang:,Sinus_00
Gaya Renang:,Gaya Bebas
Time:,140526-0908
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
101.40,21.06,-2.87,-16.21
101.50,15.35,-7.19,-16.64
101.60,10.11,-11.10,-16.88
101.70,5.75,-14.41,-16.95
101.80,2.67,-16.98,-16.85
101.90,1.16,-18.69,-16.61
102.00,1.40,-19.49,-16.24
102.10,3.47,-19.38,-15.76
102.20,7.25,-18.38,-15.18
102.30,12.51,-16.58,-14.51
102.40,18.84,-14.10,-13.78
102.50,25.74,-11.07,-12.99
102.60,32.64,-7.65,-12.16
102.70,38.93,-4.01,-11.30
102.80,44.06,-0.32,-10.43
102.90,47.55,3.27,-9.54
103.00,49.08,6.61,-8.67
103.10,48.47,9.57,-7.80
103.20,45.79,12.06,-6.96
103.30,41.28,14.01,-6.15
103.40,35.36,15.37,-5.37
103.50,28.59,16.13,-4.64
103.60,21.62,16.30,-3.95
103.70,15.13,15.90,-3.32
103.80,9.73,15.00,-2.74
103.90,5.92,13.65,-2.21
104.00,4.03,11.94,-1.75
104.10,4.20,9.95,-1.35
104.20,6.36,7.78,-1.00
104.30,10.21,5.49,-0.72
104.40,15.32,3.19,-0.49
104.50,21.13,0.93,-0.31
104.60,27.02,-1.20,-0.17
104.70,32.40,-3.16,-0.08
104.80,36.75,-4.90,-0.02
104.90,39.70,-6.39,0.00
105.00,41.02,-7.61,0.01
105.10,40.70,-8.55,0.01
105.20,38.87,-9.20,0.00
105.30,35.84,-9.59,0.00
105.40,31.99,-9.72,0.02
105.50,27.78,-9.61,0.06
105.60,23.67,-9.30,0.13
105.70,20.07,-8.82,0.24
105.80,17.28,-8.18,0.40
105.90,15.52,-7.44,0.62
106.00,14.84,-6.61,0.88
106.10,15.21,-5.74,1.20
106.20,16.45,-4.84,1.57
106.30,18.35,-3.94,1.99
106.40,20.63,-3.07,2.44
106.50,23.01,-2.24,2.91
106.60,25.25,-1.46,3.38
106.70,27.13,-0.76,3.84
106.80,28.53,-0.13,4.25
106.90,29.38,0.41,4.58
107.00,29.69,0.87,4.81
107.10,29.52,1.24,4.91
107.20,28.97,1.54,4.84
107.30,28.16,1.75,4.56
107.40,27.24,1.89,4.05
107.50,26.31,1.96,3.29
107.60,25.48,1.98,2.26
107.70,24.80,1.95,0.95
107.80,24.31,1.87,-0.63
107.90,24.01,1.76,-2.47
108.00,23.88,1.63,-4.53
108.10,23.90,1.48,-6.76
108.20,24.00,1.31,-9.08
108.30,24.16,1.14,-11.43
108.40,24.34,0.98,-13.70
108.50,24.52,0.81,-15.77
108.60,24.67,0.66,-17.53
108.70,24.81,0.52,-18.84
108.80,24.93,0.40,-19.59
108.90,25.06,0.29,-19.67
109.00,25.20,0.20,-18.97
109.10,25.37,0.13,-17.44
109.20,25.57,0.08,-15.03
109.30,25.80,0.04,-11.77
109.40,26.04,0.02,-7.70
109.50,26.28,0.00,-2.94
109.60,26.48,0.00,2.35
109.70,26.62,0.00,7.95
109.80,26.66,0.01,13.61
109.90,26.56,0.02,19.03
110.00,26.32,0.03,23.88
110.10,25.91,0.03,27.87
110.20,25.32,0.02,30.68
110.30,24.58,-0.00,32.05
110.40,23.69,-0.04,31.79
110.50,22.70,-0.10,29.79
110.60,21.64,-0.17,26.03
110.70,20.57,-0.27,20.61
110.80,19.54,-0.39,13.75
110.90,18.60,-0.54,5.79
111.00,17.81,-0.72,-2.85
111.10,17.23,-0.92,-11.65
111.20,16.89,-1.15,-20.04
111.30,16.83,-1.40,-27.45
111.40,17.07,-1.69,-33.34
111.50,17.62,-1.99,-37.23
111.60,18.49,-2.31,-38.77
111.70,19.66,-2.66,-37.76
111.80,21.11,-3.01,-34.17
111.90,22.81,-3.38,-28.16
112.00,24.71,-3.74,-20.09
112.10,26.78,-4.11,-10.50
112.20,28.94,-4.47,-0.04
112.30,31.16,-4.80,10.53
112.40,33.37,-5.12,20.41
112.50,35.51,-5.40,28.84
112.60,37.53,-5.65,35.16
112.70,39.39,-5.84,38.87
112.80,41.03,-5.97,39.63
112.90,42.41,-6.04,37.39
113.00,43.50,-6.03,32.30
113.10,44.27,-5.94,24.77
113.20,44.71,-5.75,15.40
113.30,44.80,-5.46,4.95
113.40,44.54,-5.07,-5.72
113.50,43.93,-4.57,-15.77
113.60,42.98,-3.95,-24.38
113.70,41.70,-3.22,-30.87
113.80,40.13,-2.37,-34.77
113.90,38.27,-1.41,-35.80
114.00,36.17,-0.34,-33.97
114.10,33.87,0.82,-29.49
114.20,31.39,2.07,-22.83
114.30,28.78,3.40,-14.60
114.40,26.08,4.78,-5.53
114.50,23.34,6.20,3.61
114.60,20.59,7.63,12.06
114.70,17.89,9.04,19.16
114.80,15.27,10.41,24.42
114.90,12.78,11.70,27.49
115.00,10.45,12.88,28.25
115.10,8.32,13.92,26.78
115.20,6.43,14.78,23.34
115.30,4.80,15.43,18.32
115.40,3.46,15.83,12.25
115.50,2.44,15.96,5.67
115.60,1.75,15.79,-0.86
115.70,1.40,15.30,-6.83
115.80,1.40,14.48,-11.81
115.90,1.74,13.32,-15.52
116.00,2.44,11.82,-17.78
116.10,3.46,10.00,-18.56
116.20,4.80,7.88,-17.94
116.30,6.44,5.50,-16.11
116.40,8.34,2.89,-13.34
116.50,10.47,0.12,-9.95
116.60,12.78,-2.76,-6.26
116.70,15.25,-5.66,-2.57
116.80,17.81,-8.51,0.85
116.90,20.42,-11.22,3.77
117.00,23.02,-13.70,6.05
117.10,25.56,-15.87,7.63
117.20,27.98,-17.64,8.48
117.30,30.24,-18.93,8.65
117.40,32.29,-19.68,8.24
117.50,34.07,-19.84,7.38
117.60,35.56,-19.39,6.20
117.70,36.72,-18.30,4.84
117.80,37.52,-16.59,3.44
117.90,37.97,-14.30,2.10
118.00,38.05,-11.49,0.92
118.10,37.78,-8.25,-0.05
118.20,37.18,-4.69,-0.78
118.30,36.27,-0.93,-1.27
118.40,35.11,2.89,-1.52
118.50,33.73,6.61,-1.59
118.60,32.20,10.08,-1.50
118.70,30.59,13.15,-1.31
118.80,28.94,15.68,-1.06
118.90,27.34,17.56,-0.79
119.00,25.83,18.69,-0.54
119.10,24.47,19.02,-0.33
119.20,23.31,18.51,-0.17
119.30,22.38,17.19,-0.07
119.40,21.69,15.10,-0.02
119.50,21.26,12.36,-0.00
119.60,21.08,9.07,-0.00
119.70,21.12,5.42,0.00
119.80,21.36,1.57,0.02
119.90,21.75,-2.28,0.09
120.00,22.25,-5.93,0.20
120.10,22.81,-9.20,0.38
120.20,23.38,-11.91,0.62
120.30,23.92,-13.93,0.93
120.40,24.40,-15.17,1.29
120.50,24.80,-15.57,1.69
120.60,25.11,-15.12,2.11
120.70,25.32,-13.87,2.53
120.80,25.45,-11.91,2.94
120.90,25.52,-9.36,3.30
121.00,25.54,-6.40,3.59
121.10,25.53,-3.21,3.79
121.20,25.51,0.02,3.88
121.30,25.49,3.10,3.84
121.40,25.46,5.84,3.67
121.50,25.42,8.09,3.34
121.60,25.35,9.74,2.85
121.70,25.22,10.72,2.20
121.80,25.03,10.99,1.40
121.90,24.74,10.59,0.44
122.00,24.37,9.57,-0.66
122.10,23.93,8.03,-1.90
122.20,23.45,6.11,-3.25
122.30,23.00,3.95,-4.70
122.40,22.65,1.72,-6.23
122.50,22.47,-0.45,-7.83
122.60,22.54,-2.41,-9.47
122.70,22.92,-4.05,-11.14
122.80,23.65,-5.28,-12.81
122.90,24.72,-6.06,-14.46
123.00,26.07,-6.38,-16.08
123.10,27.60,-6.26,-17.65
123.20,29.17,-5.74,-19.15
123.30,30.57,-4.91,-20.56
123.40,31.63,-3.86,-21.87
123.50,32.15,-2.68,-23.07
123.60,31.97,-1.48,-24.15
123.70,31.00,-0.33,-25.09
123.80,29.24,0.69,-25.89
123.90,26.76,1.51,-26.54
124.00,23.77,2.11,-27.03
124.10,20.52,2.48,-27.35
124.20,17.37,2.62,-27.52
124.30,14.67,2.55,-27.51
124.40,12.78,2.32,-27.33
124.50,11.99,1.97,-26.98
124.60,12.52,1.55,-26.46
124.70,14.42,1.11,-25.77
124.80,17.61,0.68,-24.91
124.90,21.84,0.31,-23.88
125.00,26.73,0.00,-22.69
125.10,31.81,-0.22,-21.33
125.20,36.54,-0.36,-19.83
125.30,40.38,-0.42,-18.17
125.40,42.87,-0.42,-16.37
125.50,43.68,-0.37,-14.43
125.60,42.63,-0.30,-12.36
125.70,39.74,-0.21,-10.18
125.80,35.24,-0.13,-7.88
125.90,29.52,-0.07,-5.48
126.00,23.11,-0.03,-3.00
126.10,16.66,-0.01,-0.44
126.20,10.80,-0.00,2.18
126.30,6.12,-0.00,4.85
126.40,3.11,0.00,7.55
126.50,2.09,0.02,10.25
126.60,3.18,0.05,12.95
126.70,6.30,0.10,15.62
126.80,11.17,0.18,18.23
126.90,17.34,0.28,20.78
127.00,24.25,0.40,23.22
127.10,31.27,0.51,25.54
127.20,37.78,0.60,27.71
127.30,43.22,0.67,29.71
127.40,47.13,0.69,31.50
127.50,49.20,0.64,33.06
127.60,49.30,0.52,34.36
127.70,47.47,0.32,35.39
127.80,43.91,0.03,36.11
127.90,38.96,-0.34,36.51
128.00,33.05,-0.78,36.56
128.10,26.67,-1.27,36.26
128.20,20.31,-1.79,35.58
128.30,14.46,-2.32,34.53
128.40,9.51,-2.83,33.10
128.50,5.77,-3.29,31.31
128.60,3.43,-3.67,29.15
128.70,2.59,-3.94,26.66
128.80,3.20,-4.08,23.86
128.90,5.15,-4.07,20.79
129.00,8.21,-3.89,17.49
129.10,12.11,-3.54,14.00
129.20,16.56,-3.01,10.39
129.30,21.24,-2.31,6.72
129.40,25.86,-1.45,3.07
129.50,30.14,-0.46,-0.51
129.60,33.89,0.64,-3.94
129.70,36.92,1.83,-7.14
129.80,39.15,3.07,-10.04
129.90,40.52,4.32,-12.58
130.00,41.05,5.56,-14.70
130.10,40.79,6.73,-16.36
130.20,39.84,7.82,-17.51
130.30,38.32,8.79,-18.14
130.40,36.37,9.60,-18.24
130.50,34.13,10.25,-17.83
130.60,31.74,10.69,-16.93
