Nama Perenang:,Irfan
Gaya Renang:,Gaya Bebas
Time:,140526-1255
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
4686.35,33.26,-5.14,-1.99
4686.45,32.11,-6.35,2.95
4686.55,30.08,-7.49,7.60
4686.65,27.30,-8.55,11.82
4686.75,23.98,-9.53,15.44
4686.85,20.42,-10.42,18.34
4686.95,16.96,-11.21,20.43
4687.05,13.94,-11.89,21.64
4687.15,11.67,-12.47,21.94
4687.25,10.44,-12.93,21.34
4687.35,10.42,-13.28,19.90
4687.45,11.68,-13.52,17.72
4687.55,14.17,-13.64,14.91
4687.65,17.73,-13.65,11.65
4687.75,22.12,-13.54,8.10
4687.85,26.98,-13.31,4.47
4687.95,31.95,-12.98,0.95
4688.05,36.61,-12.54,-2.28
4688.15,40.59,-12.00,-5.08
4688.25,43.58,-11.37,-7.30
4688.35,45.33,-10.65,-8.88
4688.45,45.69,-9.86,-9.77
4688.55,44.62,-9.01,-9.99
4688.65,42.19,-8.10,-9.57
4688.75,38.57,-7.16,-8.63
4688.85,33.99,-6.18,-7.28
4688.95,28.76,-5.19,-5.66
4689.05,23.22,-4.19,-3.92
4689.15,17.71,-3.21,-2.21
4689.25,12.58,-2.25,-0.65
4689.35,8.11,-1.33,0.66
4689.45,4.55,-0.46,1.65
4689.55,2.10,0.35,2.30
4689.65,0.84,1.09,2.60
4689.75,0.81,1.74,2.61
4689.85,1.97,2.30,2.37
4689.95,4.21,2.78,1.98
4690.05,7.40,3.15,1.51
4690.15,11.33,3.42,1.03
4690.25,15.79,3.59,0.60
4690.35,20.56,3.67,0.27
4690.45,25.38,3.66,0.05
4690.55,30.07,3.56,-0.06
4690.65,34.43,3.39,-0.09
4690.75,38.31,3.16,-0.06
4690.85,41.58,2.87,-0.03
4690.95,44.14,2.55,-0.00
4691.05,45.94,2.20,-0.01
4691.15,46.97,1.85,-0.06
4691.25,47.26,1.49,-0.13
4691.35,46.84,1.15,-0.18
4691.45,45.78,0.84,-0.19
4691.55,44.16,0.56,-0.11
4691.65,42.08,0.32,0.10
4691.75,39.65,0.13,0.45
4691.85,36.97,-0.02,0.92
4691.95,34.13,-0.12,1.49
4692.05,31.26,-0.18,2.08
4692.15,28.43,-0.21,2.61
4692.25,25.71,-0.20,2.98
