Nama Perenang:,alexa
Gaya Renang:,Gaya Bebas
Time:,140526-1302
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
237.42,13.53,14.78,-8.61
237.52,14.79,14.34,-10.27
237.62,16.43,13.80,-11.99
237.72,18.42,13.16,-13.78
237.82,20.76,12.43,-15.62
237.92,23.40,11.62,-17.48
238.02,26.28,10.74,-19.36
238.12,29.34,9.80,-21.23
238.22,32.49,8.80,-23.06
238.32,35.62,7.77,-24.83
238.42,38.63,6.70,-26.50
238.52,41.41,5.62,-28.06
238.62,43.81,4.53,-29.46
238.72,45.74,3.46,-30.68
238.82,47.06,2.40,-31.67
238.92,47.69,1.38,-32.40
239.02,47.55,0.41,-32.83
239.12,46.57,-0.50,-32.94
239.22,44.75,-1.35,-32.68
239.32,42.10,-2.11,-32.03
239.42,38.68,-2.79,-30.95
239.52,34.60,-3.37,-29.44
239.62,30.00,-3.86,-27.47
239.72,25.07,-4.23,-25.04
239.82,20.02,-4.51,-22.15
239.92,15.10,-4.67,-18.81
240.02,10.55,-4.74,-15.05
240.12,6.63,-4.70,-10.89
240.22,3.57,-4.58,-6.40
240.32,1.57,-4.37,-1.64
240.42,0.77,-4.10,3.33
240.52,1.26,-3.76,8.40
240.62,3.04,-3.38,13.47
240.72,6.06,-2.96,18.44
240.82,10.14,-2.52,23.16
240.92,15.07,-2.09,27.53
241.02,20.54,-1.65,31.40
241.12,26.22,-1.25,34.65
241.22,31.72,-0.87,37.16
241.32,36.69,-0.53,38.82
241.42,40.79,-0.25,39.53
241.52,43.72,-0.01,39.23
241.62,45.28,0.17,37.88
241.72,45.39,0.29,35.47
241.82,44.03,0.37,32.04
241.92,41.35,0.40,27.65
242.02,37.57,0.40,22.41
242.12,33.00,0.36,16.48
242.23,28.04,0.30,10.04
242.32,23.10,0.24,3.31
242.43,18.57,0.17,-3.47
242.52,14.82,0.11,-10.03
242.62,12.13,0.06,-16.12
242.73,10.68,0.02,-21.48
242.82,10.53,0.00,-25.87
242.93,11.63,0.00,-29.11
243.02,13.79,0.00,-31.04
243.12,16.75,0.01,-31.58
243.23,20.19,0.02,-30.69
243.32,23.75,0.00,-28.44
243.43,27.08,-0.03,-24.93
243.52,29.89,-0.09,-20.36
243.62,31.95,-0.18,-14.98
243.73,33.14,-0.31,-9.08
243.82,33.42,-0.47,-3.00
243.93,32.87,-0.65,2.93
244.02,31.63,-0.84,8.39
244.13,29.91,-1.02,13.06
244.23,27.97,-1.17,16.71
244.33,26.02,-1.26,19.15
244.43,24.27,-1.28,20.30
244.53,22.88,-1.19,20.15
244.63,21.95,-0.99,18.77
244.73,21.50,-0.65,16.32
244.83,21.50,-0.19,13.03
244.93,21.86,0.40,9.18
245.03,22.48,1.09,5.08
245.13,23.22,1.84,1.04
245.23,23.99,2.61,-2.67
245.33,24.67,3.34,-5.80
245.43,25.21,3.98,-8.17
245.53,25.58,4.46,-9.67
245.63,25.78,4.71,-10.28
245.73,25.84,4.69,-10.05
245.83,25.79,4.36,-9.08
245.93,25.68,3.70,-7.56
246.03,25.54,2.70,-5.68
246.13,25.40,1.40,-3.65
246.23,25.25,-0.14,-1.66
246.33,25.11,-1.86,0.11
246.43,24.96,-3.65,1.53
246.53,24.78,-5.38,2.54
246.63,24.57,-6.93,3.11
246.73,24.33,-8.18,3.27
246.83,24.09,-9.00,3.08
246.93,23.87,-9.30,2.65
247.03,23.72,-9.01,2.06
247.13,23.70,-8.09,1.43
247.23,23.84,-6.57,0.85
247.33,24.18,-4.49,0.37
247.43,24.73,-1.96,0.03
247.53,25.49,0.88,-0.16
247.63,26.39,3.85,-0.23
247.73,27.38,6.76,-0.21
247.83,28.36,9.40,-0.14
247.93,29.22,11.57,-0.07
248.03,29.85,13.09,-0.01
248.13,30.15,13.84,-0.00
248.23,30.03,13.71,-0.02
248.33,29.45,12.66,-0.05
248.43,28.40,10.74,-0.07
248.53,26.91,8.02,-0.03
248.63,25.05,4.66,0.10
248.73,22.92,0.86,0.33
248.83,20.67,-3.14,0.66
248.93,18.46,-7.08,1.08
249.03,16.44,-10.70,1.53
249.13,14.78,-13.76,1.95
249.23,13.62,-16.03,2.27
249.33,13.05,-17.35,2.40
249.43,13.17,-17.61,2.26
249.53,13.99,-16.77,1.81
249.63,15.50,-14.88,1.02
249.73,17.66,-12.02,-0.10
249.83,20.35,-8.38,-1.50
249.93,23.47,-4.16,-3.10
250.03,26.85,0.38,-4.77
250.13,30.34,4.95,-6.37
250.23,33.77,9.29,-7.75
250.33,36.98,13.13,-8.76
250.43,39.81,16.24,-9.25
250.53,42.13,18.44,-9.12
250.63,43.85,19.60,-8.32
250.73,44.89,19.66,-6.81
250.83,45.20,18.64,-4.63
250.93,44.79,16.58,-1.87
251.03,43.66,13.63,1.34
251.13,41.87,9.96,4.82
251.23,39.48,5.78,8.39
251.33,36.59,1.33,11.83
251.43,33.31,-3.16,14.92
251.53,29.74,-7.45,17.48
251.63,26.00,-11.31,19.32
251.73,22.21,-14.58,20.32
251.83,18.48,-17.08,20.37
251.93,14.92,-18.74,19.45
252.03,11.62,-19.48,17.57
252.13,8.66,-19.32,14.77
252.23,6.10,-18.28,11.16
252.33,3.99,-16.45,6.87
252.43,2.37,-13.94,2.09
252.53,1.26,-10.90,-3.01
252.63,0.67,-7.48,-8.23
252.73,0.57,-3.86,-13.36
252.83,0.96,-0.19,-18.21
252.93,1.80,3.37,-22.62
253.03,3.05,6.68,-26.43
253.13,4.67,9.61,-29.52
253.23,6.61,12.07,-31.79
253.33,8.81,13.98,-33.19
253.43,11.22,15.32,-33.68
253.53,13.78,16.06,-33.27
253.63,16.42,16.21,-31.99
253.73,19.11,15.81,-29.90
253.83,21.78,14.90,-27.06
253.93,24.40,13.57,-23.59
254.03,26.91,11.87,-19.57
254.13,29.27,9.90,-15.13
254.23,31.46,7.74,-10.37
254.33,33.44,5.49,-5.42
254.43,35.19,3.21,-0.39
254.53,36.70,0.98,4.63
254.63,37.95,-1.13,9.52
254.73,38.93,-3.07,14.21
254.83,39.64,-4.79,18.62
254.93,40.09,-6.26,22.69
255.03,40.28,-7.47,26.37
255.13,40.22,-8.40,29.61
255.23,39.94,-9.05,32.40
255.33,39.43,-9.44,34.72
255.43,38.74,-9.58,36.57
255.53,37.88,-9.48,37.94
255.63,36.88,-9.19,38.85
255.73,35.77,-8.72,39.31
255.83,34.57,-8.10,39.36
255.93,33.31,-7.38,39.02
256.03,32.02,-6.57,38.31
256.13,30.73,-5.72,37.28
256.23,29.47,-4.84,35.96
256.33,28.26,-3.96,34.39
256.43,27.12,-3.10,32.59
256.53,26.08,-2.29,30.61
256.63,25.14,-1.53,28.49
256.73,24.33,-0.84,26.24
256.83,23.64,-0.22,23.91
256.93,23.10,0.31,21.52
257.03,22.68,0.77,19.10
257.13,22.40,1.14,16.68
257.23,22.25,1.43,14.27
257.33,22.21,1.64,11.90
257.43,22.27,1.78,9.59
257.53,22.42,1.86,7.35
257.63,22.63,1.88,5.19
257.73,22.89,1.85,3.13
257.83,23.17,1.78,1.19
257.93,23.47,1.68,-0.65
258.03,23.76,1.55,-2.36
258.13,24.03,1.40,-3.93
258.23,24.27,1.25,-5.38
258.33,24.48,1.08,-6.69
258.43,24.65,0.92,-7.86
258.53,24.78,0.77,-8.89
258.63,24.89,0.62,-9.78
258.73,24.98,0.49,-10.54
258.83,25.07,0.37,-11.16
258.93,25.17,0.27,-11.65
259.03,25.29,0.18,-12.00
259.13,25.44,0.12,-12.24
259.23,25.63,0.07,-12.35
259.33,25.85,0.03,-12.35
259.43,26.09,0.01,-12.24
259.53,26.35,0.00,-12.03
259.63,26.58,0.00,-11.72
259.73,26.77,0.01,-11.33
259.83,26.87,0.02,-10.87
259.93,26.84,0.03,-10.33
260.03,26.65,0.04,-9.74
260.13,26.26,0.04,-9.09
260.23,25.66,0.03,-8.41
260.33,24.85,0.01,-7.70
260.43,23.84,-0.03,-6.98
260.53,22.68,-0.08,-6.25
260.63,21.44,-0.16,-5.52
260.73,20.19,-0.26,-4.81
260.83,19.06,-0.38,-4.12
260.93,18.17,-0.53,-3.47
261.03,17.63,-0.71,-2.86
261.13,17.57,-0.92,-2.31
261.23,18.06,-1.15,-1.80
261.33,19.17,-1.41,-1.36
261.43,20.90,-1.70,-0.99
261.53,23.20,-2.01,-0.67
261.63,25.94,-2.34,-0.43
261.73,28.97,-2.69,-0.24
261.83,32.03,-3.06,-0.11
261.93,34.87,-3.43,-0.03
262.03,37.21,-3.81,0.01
262.14,38.78,-4.19,0.02
262.23,39.33,-4.56,0.01
262.33,38.71,-4.91,0.00
262.43,36.85,-5.24,0.00
262.54,33.79,-5.54,0.02
262.64,29.71,-5.80,0.07
262.73,24.90,-6.01,0.17
262.83,19.75,-6.16,0.31
262.93,14.71,-6.24,0.50
263.04,10.30,-6.24,0.74
263.14,6.97,-6.16,1.02
263.23,5.13,-5.99,1.33
263.33,5.05,-5.71,1.65
263.43,6.86,-5.33,1.95
263.54,10.47,-4.83,2.20
263.64,15.64,-4.22,2.38
263.73,21.92,-3.48,2.43
263.83,28.73,-2.63,2.34
263.93,35.42,-1.67,2.05
264.04,41.29,-0.59,1.55
264.14,45.73,0.59,0.82
264.24,48.25,1.86,-0.16
264.34,48.52,3.20,-1.38
264.44,46.47,4.61,-2.81
264.54,42.26,6.05,-4.41
264.64,36.27,7.50,-6.10
264.74,29.11,8.95,-7.82
264.84,21.48,10.34,-9.45
264.94,14.15,11.67,-10.88
265.04,7.89,12.88,-11.99
265.14,3.33,13.95,-12.64
265.24,0.92,14.84,-12.73
265.34,0.89,15.51,-12.15
265.44,3.24,15.94,-10.84
265.54,7.69,16.09,-8.76
265.64,13.75,15.94,-5.93
265.74,20.81,15.46,-2.43
265.84,28.13,14.64,1.62
265.94,34.98,13.49,6.03
266.04,40.71,11.99,10.55
266.14,44.79,10.16,14.92
266.24,46.89,8.02,18.81
266.34,46.88,5.62,21.92
266.44,44.87,2.99,23.95
266.54,41.12,0.19,24.66
266.64,36.07,-2.71,23.85
266.74,30.27,-5.64,21.45
266.84,24.29,-8.51,17.46
266.94,18.69,-11.24,12.03
267.04,13.94,-13.74,5.43
267.14,10.41,-15.91,-1.97
267.24,8.32,-17.68,-9.68
267.34,7.76,-18.97,-17.16
267.44,8.65,-19.71,-23.85
267.54,10.79,-19.86,-29.18
267.64,13.90,-19.38,-32.68
267.74,17.63,-18.26,-33.95
267.84,21.62,-16.52,-32.78
267.94,25.51,-14.20,-29.13
268.04,29.02,-11.36,-23.15
268.14,31.88,-8.09,-15.21
268.24,33.96,-4.50,-5.84
268.34,35.19,-0.72,4.26
268.44,35.57,3.11,14.33
268.54,35.18,6.82,23.54
268.64,34.14,10.27,31.12
268.74,32.62,13.32,36.43
268.84,30.80,15.81,38.95
268.94,28.85,17.63,38.43
269.04,26.93,18.70,34.84
269.14,25.18,18.96,28.44
269.24,23.68,18.38,19.69
269.34,22.51,16.99,9.30
269.44,21.69,14.84,-1.88
269.54,21.22,12.04,-12.95
269.64,21.06,8.72,-22.98
269.74,21.17,5.04,-31.15
269.84,21.49,1.19,-36.80
269.94,21.95,-2.64,-39.46
270.04,22.49,-6.25,-38.95
270.14,23.06,-9.46,-35.33
270.24,23.60,-12.10,-28.97
270.34,24.09,-14.03,-20.40
270.44,24.51,-15.17,-10.38
270.54,24.83,-15.47,0.26
270.64,25.07,-14.93,10.64
270.74,25.24,-13.60,19.95
270.84,25.34,-11.57,27.48
270.94,25.40,-8.97,32.69
271.04,25.42,-5.99,35.27
271.14,25.44,-2.80,35.11
271.24,25.46,0.40,32.33
271.34,25.49,3.43,27.29
271.44,25.54,6.09,20.45
271.54,25.60,8.26,12.43
271.64,25.67,9.82,3.90
271.74,25.75,10.70,-4.50
271.84,25.81,10.88,-12.16
271.94,25.85,10.39,-18.57
272.04,25.85,9.31,-23.35
272.14,25.81,7.72,-26.28
272.24,25.69,5.78,-27.29
272.34,25.49,3.62,-26.46
272.44,25.21,1.41,-23.99
272.54,24.84,-0.71,-20.17
272.64,24.38,-2.61,-15.38
272.74,23.82,-4.18,-10.02
272.84,23.19,-5.34,-4.49
272.94,22.48,-6.04,0.84
273.04,21.72,-6.30,5.66
273.14,20.91,-6.12,9.71
273.24,20.08,-5.56,12.84
273.34,19.26,-4.71,14.94
273.44,18.45,-3.65,16.02
273.54,17.70,-2.48,16.12
273.64,17.02,-1.29,15.37
273.74,16.43,-0.18,13.91
273.84,15.97,0.79,11.92
273.94,15.64,1.57,9.58
274.04,15.47,2.12,7.08
274.14,15.47,2.45,4.58
274.24,15.67,2.55,2.21
274.34,16.06,2.46,0.10
274.44,16.66,2.22,-1.69
274.54,17.47,1.86,-3.10
274.64,18.49,1.45,-4.13
274.74,19.71,1.02,-4.78
274.84,21.12,0.61,-5.09
274.94,22.71,0.25,-5.09
275.04,24.46,-0.03,-4.85
275.14,26.34,-0.23,-4.43
275.24,28.34,-0.35,-3.89
275.34,30.42,-0.40,-3.27
275.44,32.55,-0.39,-2.64
275.54,34.69,-0.33,-2.04
275.64,36.81,-0.26,-1.49
275.74,38.85,-0.18,-1.02
275.84,40.79,-0.11,-0.64
275.94,42.57,-0.06,-0.35
276.04,44.16,-0.02,-0.15
276.14,45.51,-0.00,-0.02
276.24,46.59,-0.00,0.04
276.34,47.34,-0.00,0.06
276.44,47.74,0.00,0.04
276.54,47.77,0.02,0.02
276.64,47.39,0.06,0.00
276.74,46.60,0.13,0.00
276.84,45.39,0.22,0.04
276.94,43.76,0.32,0.11
277.04,41.72,0.44,0.22
277.14,39.30,0.56,0.38
277.24,36.54,0.65,0.58
277.34,33.47,0.72,0.82
277.44,30.17,0.73,1.09
277.54,26.69,0.67,1.39
277.64,23.13,0.53,1.69
277.74,19.56,0.31,1.99
277.84,16.07,0.01,2.27
277.94,12.78,-0.38,2.53
278.04,9.77,-0.83,2.75
278.14,7.14,-1.34,2.92
278.24,4.99,-1.88,3.02
278.34,3.39,-2.43,3.06
278.44,2.40,-2.95,3.01
278.54,2.08,-3.42,2.87
278.64,2.46,-3.80,2.64
278.74,3.53,-4.07,2.31
278.84,5.28,-4.21,1.88
278.94,7.65,-4.19,1.34
279.04,10.56,-4.00,0.70
279.14,13.92,-3.63,-0.04
279.24,17.60,-3.09,-0.89
279.34,21.45,-2.38,-1.83
279.44,25.32,-1.51,-2.86
279.54,29.03,-0.50,-3.99
279.64,32.44,0.62,-5.19
279.74,35.39,1.83,-6.47
279.84,37.76,3.08,-7.81
279.94,39.43,4.35,-9.22
280.04,40.35,5.60,-10.67
280.14,40.47,6.80,-12.17
280.24,39.83,7.91,-13.69
280.34,38.48,8.90,-15.23
