Nama Perenang:,ridho
Gaya Renang:,Gaya Bebas
Time:,140526-1301
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
187.50,13.65,14.38,-12.87
187.60,10.44,13.81,-14.00
187.70,8.25,13.16,-14.70
187.80,7.30,12.41,-14.99
187.90,7.72,11.59,-14.92
188.00,9.52,10.69,-14.55
188.10,12.60,9.73,-13.92
188.20,16.75,8.73,-13.08
188.30,21.66,7.68,-12.09
188.40,26.99,6.60,-10.99
188.50,32.36,5.52,-9.83
188.60,37.38,4.42,-8.64
188.70,41.70,3.34,-7.46
188.80,45.02,2.28,-6.32
188.90,47.14,1.26,-5.24
189.00,47.92,0.29,-4.24
189.10,47.32,-0.63,-3.33
189.20,45.39,-1.47,-2.52
189.30,42.28,-2.24,-1.82
189.40,38.19,-2.91,-1.22
189.50,33.37,-3.49,-0.73
189.60,28.12,-3.97,-0.33
189.70,22.71,-4.34,-0.03
189.80,17.46,-4.61,0.19
189.90,12.61,-4.77,0.34
190.00,8.40,-4.83,0.42
190.10,5.01,-4.79,0.45
190.20,2.56,-4.66,0.43
190.30,1.12,-4.45,0.39
190.40,0.71,-4.17,0.32
190.50,1.29,-3.83,0.25
190.60,2.79,-3.44,0.17
190.70,5.09,-3.01,0.10
190.80,8.05,-2.57,0.04
190.90,11.51,-2.12,0.01
191.00,15.31,-1.69,0.00
191.10,19.28,-1.27,0.03
191.20,23.27,-0.89,0.09
191.30,27.14,-0.54,0.19
191.40,30.76,-0.25,0.33
191.50,34.02,-0.01,0.51
191.60,36.84,0.18,0.74
191.70,39.18,0.31,1.00
191.80,40.99,0.39,1.31
191.90,42.26,0.42,1.64
192.00,43.01,0.42,2.01
192.10,43.25,0.38,2.40
192.20,43.02,0.32,2.82
192.30,42.38,0.26,3.24
192.40,41.38,0.19,3.67
192.50,40.08,0.12,4.10
192.60,38.54,0.07,4.52
192.70,36.84,0.03,4.91
192.80,35.03,0.01,5.27
192.90,33.17,0.00,5.58
193.00,31.31,0.00,5.84
193.10,29.50,0.01,6.03
193.20,27.79,0.01,6.13
193.30,26.20,0.00,6.14
193.40,24.75,-0.02,6.04
193.50,23.48,-0.08,5.81
193.60,22.39,-0.17,5.46
193.70,21.48,-0.29,4.95
193.80,20.76,-0.44,4.29
193.90,20.23,-0.62,3.47
194.00,19.87,-0.80,2.47
194.10,19.68,-0.98,1.29
194.20,19.63,-1.13,-0.06
194.30,19.70,-1.23,-1.60
194.40,19.89,-1.25,-3.31
194.50,20.17,-1.17,-5.19
194.60,20.52,-0.98,-7.21
194.70,20.92,-0.66,-9.37
194.80,21.36,-0.22,-11.63
194.90,21.81,0.35,-13.97
195.00,22.26,1.02,-16.34
195.10,22.70,1.76,-18.71
195.20,23.11,2.52,-21.03
195.30,23.49,3.25,-23.23
195.40,23.82,3.89,-25.27
195.50,24.12,4.37,-27.07
195.60,24.36,4.65,-28.58
195.70,24.56,4.65,-29.72
195.80,24.72,4.35,-30.42
195.90,24.85,3.72,-30.63
196.00,24.94,2.76,-30.28
196.10,25.01,1.50,-29.33
196.20,25.07,-0.01,-27.73
196.30,25.13,-1.71,-25.46
196.40,25.20,-3.47,-22.51
196.50,25.28,-5.20,-18.90
196.60,25.39,-6.77,-14.66
196.70,25.53,-8.03,-9.85
196.80,25.71,-8.89,-4.57
196.90,25.92,-9.24,1.07
197.00,26.17,-9.00,6.94
197.10,26.45,-8.15,12.87
197.20,26.75,-6.68,18.68
197.30,27.05,-4.66,24.17
197.40,27.34,-2.18,29.13
197.50,27.60,0.62,33.36
197.60,27.80,3.57,36.67
197.70,27.91,6.48,38.86
197.80,27.91,9.14,39.80
197.90,27.77,11.35,39.38
198.00,27.47,12.93,37.54
198.10,26.99,13.75,34.27
198.20,26.31,13.70,29.65
198.30,25.43,12.74,23.80
198.40,24.36,10.90,16.92
198.50,23.11,8.26,9.28
198.60,21.71,4.96,1.18
198.70,20.22,1.20,-7.00
198.80,18.68,-2.78,-14.88
198.90,17.18,-6.73,-22.07
199.00,15.79,-10.38,-28.21
199.10,14.60,-13.49,-32.94
199.20,13.72,-15.83,-36.01
199.30,13.23,-17.23,-37.21
199.40,13.21,-17.59,-36.46
199.50,13.74,-16.85,-33.78
199.60,14.85,-15.04,-29.31
199.70,16.58,-12.27,-23.29
199.80,18.90,-8.69,-16.09
199.90,21.75,-4.51,-8.12
200.00,25.04,0.00,0.12
200.10,28.62,4.58,8.11
200.20,32.32,8.95,15.35
200.30,35.92,12.84,21.38
200.40,39.20,16.01,25.85
200.50,41.91,18.29,28.47
200.60,43.85,19.53,29.11
200.70,44.80,19.68,27.80
200.80,44.62,18.74,24.68
200.90,43.22,16.76,20.03
201.00,40.60,13.87,14.24
201.10,36.84,10.24,7.79
201.20,32.13,6.09,1.17
201.30,26.72,1.64,-5.11
201.40,20.96,-2.86,-10.60
201.50,15.26,-7.18,-14.93
201.60,10.02,-11.09,-17.84
201.70,5.68,-14.40,-19.18
