Nama Perenang:,sinus_freq_01
Gaya Renang:,Dada
Time:,140526-1132
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
4856.23,18.03,6.83,-34.85
4856.33,17.86,6.25,-35.69
4856.43,17.86,5.62,-36.20
4856.53,18.01,4.96,-36.41
4856.63,18.30,4.27,-36.31
4856.73,18.70,3.60,-35.94
4856.83,19.21,2.94,-35.32
4856.93,19.78,2.31,-34.48
4857.03,20.41,1.73,-33.44
4857.13,21.07,1.19,-32.22
4857.23,21.73,0.72,-30.85
4857.33,22.37,0.31,-29.34
4857.43,22.98,-0.05,-27.72
4857.53,23.54,-0.34,-26.01
4857.63,24.03,-0.56,-24.24
4857.73,24.45,-0.73,-22.42
4857.83,24.80,-0.85,-20.57
4857.93,25.06,-0.92,-18.69
4858.03,25.26,-0.95,-16.83
4858.13,25.39,-0.95,-14.98
4858.23,25.47,-0.91,-13.16
4858.33,25.50,-0.85,-11.37
4858.43,25.51,-0.77,-9.63
4858.53,25.50,-0.68,-7.96
4858.63,25.49,-0.58,-6.37
4858.73,25.49,-0.48,-4.86
4858.83,25.50,-0.39,-3.41
4858.93,25.53,-0.30,-2.06
4859.03,25.57,-0.21,-0.81
4859.13,25.60,-0.14,0.33
4859.23,25.62,-0.09,1.37
4859.33,25.60,-0.04,2.31
4859.43,25.52,-0.02,3.14
4859.53,25.37,-0.00,3.85
4859.63,25.12,-0.00,4.46
4859.73,24.76,-0.01,4.96
4859.83,24.29,-0.04,5.35
4859.93,23.71,-0.07,5.63
4860.03,23.06,-0.11,5.81
4860.13,22.36,-0.15,5.90
4860.23,21.67,-0.19,5.89
4860.33,21.06,-0.23,5.80
4860.43,20.60,-0.26,5.62
4860.53,20.36,-0.28,5.38
4860.63,20.43,-0.29,5.08
4860.73,20.86,-0.29,4.73
4860.83,21.69,-0.26,4.33
4860.93,22.94,-0.21,3.91
4861.03,24.57,-0.13,3.47
4861.13,26.51,-0.02,3.02
4861.23,28.65,0.12,2.58
4861.33,30.85,0.29,2.15
4861.43,32.91,0.50,1.74
4861.53,34.64,0.75,1.37
4861.63,35.83,1.03,1.03
4861.73,36.30,1.35,0.74
4861.83,35.92,1.71,0.50
4861.93,34.60,2.10,0.31
4862.03,32.33,2.52,0.17
4862.13,29.21,2.97,0.08
4862.23,25.44,3.44,0.03
4862.33,21.25,3.94,0.00
4862.43,17.02,4.45,0.00
4862.53,13.13,4.96,0.00
4862.63,9.96,5.48,0.00
4862.73,7.89,5.98,-0.02
4862.83,7.21,6.46,-0.09
4862.93,8.11,6.92,-0.20
4863.03,10.60,7.33,-0.38
4863.13,14.59,7.69,-0.63
4863.23,19.77,7.99,-0.95
4863.33,25.72,8.21,-1.35
4863.43,31.90,8.35,-1.81
4863.53,37.72,8.38,-2.31
4863.63,42.57,8.30,-2.83
4863.73,45.94,8.10,-3.34
4863.83,47.40,7.77,-3.80
4863.93,46.73,7.30,-4.16
4864.03,43.92,6.68,-4.37
