Nama Perenang:,sinus_freq
Gaya Renang:,Gaya Bebas
Time:,140526-0955
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
1278.04,33.77,0.92,3.37
1278.14,30.09,0.57,3.93
1278.24,26.27,0.12,4.50
1278.34,22.42,-0.43,5.07
1278.44,18.66,-1.05,5.61
1278.54,15.10,-1.74,6.13
1278.64,11.88,-2.45,6.62
1278.74,9.10,-3.17,7.04
1278.84,6.87,-3.85,7.41
1278.94,5.28,-4.47,7.70
1279.04,4.40,-4.99,7.91
1279.14,4.26,-5.38,8.03
1279.24,4.89,-5.63,8.06
1279.34,6.26,-5.70,7.98
1279.44,8.30,-5.58,7.79
1279.54,10.95,-5.27,7.49
1279.64,14.07,-4.75,7.08
1279.74,17.53,-4.05,6.54
1279.84,21.16,-3.16,5.89
1279.94,24.79,-2.11,5.12
1280.04,28.24,-0.92,4.23
1280.14,31.35,0.38,3.23
1280.24,33.96,1.77,2.11
1280.34,35.94,3.21,0.88
1280.44,37.23,4.66,-0.46
1280.54,37.77,6.10,-1.90
1280.64,37.55,7.49,-3.43
1280.74,36.65,8.79,-5.06
1280.84,35.15,9.97,-6.77
1280.94,33.17,11.01,-8.55
1281.04,30.88,11.89,-10.40
1281.14,28.44,12.58,-12.31
1281.24,26.04,13.07,-14.25
1281.34,23.84,13.35,-16.23
1281.44,21.97,13.42,-18.23
1281.54,20.54,13.27,-20.23
1281.64,19.62,12.90,-22.22
1281.74,19.21,12.33,-24.18
1281.84,19.30,11.55,-26.09
1281.94,19.81,10.59,-27.93
1282.04,20.66,9.46,-29.69
1282.14,21.71,8.18,-31.35
1282.24,22.84,6.76,-32.88
1282.34,23.95,5.23,-34.25
1282.44,24.93,3.61,-35.45
1282.54,25.71,1.92,-36.46
1282.65,26.25,0.18,-37.24
1282.74,26.55,-1.58,-37.77
1282.84,26.63,-3.35,-38.03
1282.94,26.52,-5.10,-38.00
1283.05,26.29,-6.82,-37.66
1283.15,25.99,-8.49,-36.98
1283.24,25.68,-10.08,-35.96
1283.34,25.39,-11.59,-34.58
1283.44,25.14,-13.01,-32.83
1283.55,24.95,-14.31,-30.71
1283.65,24.80,-15.50,-28.23
1283.74,24.68,-16.55,-25.38
1283.84,24.57,-17.47,-22.18
1283.94,24.48,-18.25,-18.66
1284.05,24.39,-18.89,-14.85
1284.15,24.34,-19.38,-10.78
1284.24,24.35,-19.73,-6.50
1284.34,24.46,-19.93,-2.07
1284.44,24.69,-19.98,2.44
1284.55,25.06,-19.89,6.97
1284.65,25.56,-19.67,11.43
1284.75,26.17,-19.31,15.75
1284.85,26.82,-18.83,19.82
1284.95,27.42,-18.22,23.57
1285.05,27.85,-17.50,26.89
1285.15,28.03,-16.67,29.72
1285.25,27.84,-15.74,31.95
1285.35,27.24,-14.72,33.53
1285.45,26.22,-13.62,34.39
1285.55,24.82,-12.45,34.50
1285.65,23.15,-11.21,33.82
1285.75,21.38,-9.93,32.35
1285.85,19.70,-8.60,30.13
1285.95,18.34,-7.24,27.18
1286.05,17.51,-5.85,23.59
1286.15,17.38,-4.46,19.45
1286.25,18.06,-3.06,14.89
1286.35,19.57,-1.67,10.04
1286.45,21.85,-0.30,5.05
1286.55,24.73,1.04,0.09
1286.65,27.98,2.34,-4.67
1286.75,31.28,3.60,-9.04
1286.85,34.31,4.79,-12.89
1286.95,36.74,5.93,-16.08
1287.05,38.29,6.99,-18.49
